FROGAncestryCalc_Population,Pop_Code_1000G,Full_Name_1000G,Superpopulation_1000G,Superpopulation_Full_Name
Luhya(LWK),LWK,Luhya in Webuye Kenya,AFR,African
African American(ASW),ASW,African Ancestry in Southwest US,AFR,African
Yoruba(YRI),YRI,Yoruba in Ibadan Nigeria,AFR,African
Gambian(GWD),GWD,Gambian in Western Division The Gambia,AFR,African
Mende(MSL),MSL,Mende in Sierra Leone,AFR,African
Esan(ESN),ESN,Esan in Nigeria,AFR,African
Mixed Europeans(CEU),CEU,Utah residents (CEPH) with Northern and Western European ancestry,EUR,European
Finns(FIN),FIN,Finnish in Finland,EUR,European
British(GBR),GBR,British in England and Scotland,EUR,European
Iberian(IBS),IBS,Iberian populations in Spain,EUR,European
Toscani(TSI),TSI,Toscani in Italy,EUR,European
Han Chinese(CHB),CHB,Han Chinese in Beijing China,EAS,East Asian
Japanese(JPT),JPT,Japanese in Tokyo Japan,EAS,East Asian
Han Chinese(CHS),CHS,Han Chinese South,EAS,East Asian
Chinese Dai(CDX),CDX,Chinese Dai in Xishuangbanna China,EAS,East Asian
Vietnamese(KHV),KHV,Kinh in Ho Chi Minh City Vietnam,EAS,East Asian
Gujarati(GIH),GIH,Gujarati Indian in Houston TX,SAS,South Asian
Punjabi(PJL),PJL,Punjabi in Lahore Pakistan,SAS,South Asian
Bengali(BEB),BEB,Bengali in Bangladesh,SAS,South Asian
Sri Lankan Tamil(STU),STU,Sri Lankan Tamil in the UK,SAS,South Asian
Telugu(ITU),ITU,Indian Telugu in the UK,SAS,South Asian
Peruvian(PEL),PEL,Peruvian in Lima Peru,AMR,Admixed American
